,Country_Region,Province_State,World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16
154,Russia,,Russian Federation,5.3,57.0,40.5,469.1,1329.3,9.116766467065869,4.0,8.6,63.1,100.0,100.0
155,Rwanda,,Rwanda,6.8,33.9,6.4,48.1,130.4,50.6,0.1,0.8,0.8,56.0,89.30934579439251
156,,,Samoa,5.5,76.4,11.9,227.1,352.8,10.8,0.3,1.9,1.6,59.0,89.30934579439251
157,San Marino,,San Marino,6.4,80.4,18.8,3012.8,3832.0,9.116766467065869,6.1,8.8,112.9,100.0,89.30934579439251
158,,,Sao Tome and Principe,6.0,39.9,14.4,105.1,196.9,44.6,0.3,2.3,37.937142857142874,95.0,89.30934579439251
159,Saudi Arabia,,Saudi Arabia,5.7,67.8,14.3,1147.3,3117.2,0.0,2.4,5.7,37.937142857142874,84.20245398773007,51.0
160,Senegal,,Senegal,5.5,34.6,51.8,52.6,141.7,6.2,0.1,0.3,1.1,77.4,89.30934579439251
161,Serbia,,Serbia,9.1,58.0,40.5,494.4,1322.6,0.1,3.1,6.1,86.7,99.0,90.0
162,Seychelles,,Seychelles,3.9,96.0,2.1,596.9,1122.6,1.9,0.9,3.3,48.6,84.20245398773007,100.0
163,,,Sierra Leone,16.5,11.2,41.6,86.3,244.0,41.0,0.0,1.0,0.1,81.0,89.30934579439251
164,Singapore,,Singapore,4.5,54.5,31.2,2462.4,4083.8,0.0,2.3,7.2,31.5,84.20245398773007,74.0
165,Netherlands,Sint Maarten,Sint Maarten (Dutch part),6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,37.937142857142874,84.20245398773007,89.30934579439251
166,Slovakia,,Slovak Republic,7.1,79.8,17.8,1178.7,2172.2,0.0,2.5,9.2,53.9,100.0,100.0
167,Slovenia,,Slovenia,8.5,72.3,12.0,1834.2,2772.2,9.116766467065869,3.0,9.7,66.7,100.0,100.0
168,,,Solomon Islands,5.2,69.2,4.6,106.3,117.8,26.2,0.2,2.1,2.5,88.0,89.30934579439251
169,Somalia,,Somalia,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,0.0,0.1,0.2,84.20245398773007,89.30934579439251
170,South Africa,,South Africa,8.1,53.7,7.8,428.2,1071.3,1.9,0.9,3.5,11.4,89.0,91.0
171,,,South Sudan,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,0.3,35.0,89.30934579439251
172,Spain,,Spain,9.0,71.2,23.8,2389.9,3259.8,9.116766467065869,4.1,5.5,79.9,100.0,100.0
173,Sri Lanka,,Sri Lanka,3.9,43.1,50.1,153.1,491.5,1.1,1.0,2.1,2.8,84.20245398773007,89.30934579439251
174,Saint Kitts and Nevis,,St. Kitts and Nevis,5.7,43.2,51.5,930.8,1479.6,0.0,2.5,4.0,33.5,84.20245398773007,79.0
175,Saint Lucia,,St. Lucia,5.3,42.0,48.7,489.8,677.4,3.7,0.1,1.6,23.6,92.0,85.0
176,France,St Martin,St. Martin (French part),6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,37.937142857142874,84.20245398773007,89.30934579439251
177,Saint Vincent and the Grenadines,,St. Vincent and the Grenadines,3.6,76.8,20.5,250.2,409.1,0.6,0.7,2.6,23.6,84.20245398773007,100.0
178,Sudan,,Sudan,5.7,19.5,73.9,152.0,297.9,2.2,0.4,0.8,2.7,67.0,89.30934579439251
179,Suriname,,Suriname,6.1,69.4,21.8,356.1,907.6,1.4,1.2,4.1,37.937142857142874,99.0,100.0
180,Sweden,,Sweden,10.9,83.5,15.2,5710.6,5386.7,9.116766467065869,5.4,11.5,113.1,100.0,100.0
181,Switzerland,,Switzerland,12.2,62.8,29.6,9836.0,7867.4,9.116766467065869,4.2,17.3,94.8,100.0,100.0
182,Syria,,Syrian Arab Republic,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.2,1.5,37.937142857142874,84.20245398773007,92.0
183,,,Tajikistan,7.0,28.6,66.1,55.7,208.5,5.1,1.7,5.2,41.7,95.8,89.30934579439251
184,Tanzania,,Tanzania,4.1,40.6,21.9,35.5,112.0,36.4,0.0,0.4,0.5,26.4,89.30934579439251
185,Thailand,,Thailand,3.7,78.1,12.1,221.9,635.0,0.2,0.8,3.0,13.1,100.0,89.30934579439251
186,Timor-Leste,,Timor-Leste,4.0,55.8,8.9,79.9,121.7,31.6,0.7,1.7,0.9,60.4,89.30934579439251
187,Togo,,Togo,6.6,20.0,50.4,38.8,99.9,20.7,0.0,0.3,0.5,78.0,89.30934579439251
188,,,Tonga,5.3,65.9,11.0,203.2,311.4,19.4,0.5,3.9,14.0,93.0,89.30934579439251
189,Trinidad and Tobago,,Trinidad and Tobago,6.5,52.8,40.1,1063.8,2180.5,0.1,2.7,3.5,30.9,97.0,85.0
190,Tunisia,,Tunisia,7.0,56.6,39.9,256.5,806.3,0.1,1.3,2.6,11.5,99.0,37.0
191,Turkey,,Turkey,4.3,78.4,16.5,468.6,1089.2,9.116766467065869,1.8,2.6,47.6,99.0,78.0
